Position x [mm];Position y [mm];Position z [mm];Volumen [mm³];Oberfläche [mm²];Mittlere Porosität [%];Porositätsabweichung [%];Maximale Porosität [%];Beschreibung;Bild;Fokussiertes Bild;Screenshots
-0,1259;-0,6169;26,3678;0,03;0,64;2,38;0,29;3,17;;Aus;Aus;0
-0,1280;-1,5504;66,6555;0,22;3,08;4,30;2,33;12,73;;Aus;Aus;0
-0,1371;3,2817;76,7537;0,04;1,19;2,17;0,13;2,51;;Aus;Aus;0
-0,1383;-1,4928;47,8913;0,07;1,18;3,18;0,97;6,02;;Aus;Aus;0
-0,1456;-2,7503;61,4821;39,16;385,27;2,59;0,59;13,15;;Aus;Aus;0
-0,1488;0,4573;70,2713;0,03;0,66;2,65;0,48;3,94;;Aus;Aus;0
-0,1516;-0,8197;51,3768;0,07;1,31;2,87;0,72;5,06;;Aus;Aus;0
-0,1535;-0,5642;66,3910;0,00;0,01;2,01;0,01;2,03;;Aus;Aus;0
-0,1633;-2,4212;23,5568;0,02;0,60;2,54;0,40;3,57;;Aus;Aus;0
-0,1644;-2,5017;61,1822;0,04;0,87;2,82;0,64;4,60;;Aus;Aus;0
-0,1663;2,4490;71,5003;0,01;0,41;2,41;0,29;3,14;;Aus;Aus;0
-0,1679;0,6598;64,6958;0,08;1,30;3,58;1,30;7,44;;Aus;Aus;0
-0,1701;0,7052;53,0656;0,00;0,17;2,10;0,07;2,25;;Aus;Aus;0
-0,1716;-1,0495;69,8949;0,01;0,38;2,31;0,22;2,85;;Aus;Aus;0
-0,1726;-0,4986;64,7142;0,03;0,84;2,42;0,32;3,42;;Aus;Aus;0
-0,1728;0,2410;63,9118;0,06;1,21;2,87;0,69;5,00;;Aus;Aus;0
-0,1772;3,3135;20,4233;0,04;1,00;2,25;0,18;2,70;;Aus;Aus;0
-0,1949;-0,0858;44,5303;0,00;0,10;2,06;0,04;2,16;;Aus;Aus;0
-0,1990;1,2571;72,1343;0,00;0,20;2,19;0,13;2,50;;Aus;Aus;0
-0,1993;1,2921;24,5565;0,05;0,96;2,93;0,73;5,02;;Aus;Aus;0
-0,2023;-1,9750;61,5589;0,00;0,08;2,07;0,05;2,18;;Aus;Aus;0
